Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Unit Price
6/2/2023,1008,0,364,182,DUTCH LADY STRAWBERRY 1LIT, RM5.71 
6/2/2023,2272,0,32,16,KIMBALL SOS BBQ 1KG, RM7.94 
6/2/2023,493.5,0,52.5,31.5,KIMBALL SOS PASTA TRADISIONAL 350G, RM4.21 
6/2/2023,374.4,0,5.2,119.6,SCH JEJARI UBI KAYU PEDAS 520G, RM4.46 
6/2/2023,432,0,6,126,SCH UBI KEPING MASIN 600G, RM5.45 
7/2/2023,560,0,0,0,BIRDIE EGG BUBBLE GUM 30PCS, RM8.80 
7/2/2023,905,0,92.5,56.25,MOTOKAR SERBUK KUNYIT 250G, RM3.20 
7/2/2023,2896,0,296,180,MOTOKAR SERBUK KUNYIT 500G, RM6.30 
7/2/2023,198,7.5,31.8,10.5,MOTOKAR SERBUK LADA HITAM 100G, RM5.70 
7/2/2023,210,0,0,0,PEARL CANDY 30PCS, RM8.80 
7/2/2023,93,0,0,0,SUMMER FRESH COLA 10PCS, RM3.13 
7/2/2023,372,0,0,0,SUMMER FRESH COLA BLUE 10PCS, RM3.13 
7/2/2023,186,0,0,0,SUMMER FRESH ORANGE 10PCS, RM3.13 
7/2/2023,93,0,0,0,SUMMER FRESH SARSI 10PCS, RM3.13 
7/2/2023,55.8,0,0,0,SUMMER FRESH S'BERRY I/CREAM POP 6PCS, RM1.80 
7/2/2023,93,0,0,0,SUMMER FRESH STRAW 10PCS, RM3.13 
7/2/2023,35,0,0,0,SUPER KONJAC JELLY 40PCS, RM12.00 
10/2/2023,3552,0,8,0,ABC TEPUNG UBI KAYU 500G, RM1.50 
10/2/2023,115.5,34.5,38,33.5,ADABI KARI AYAM & DAGING 250G, RM4.90 
10/2/2023,118.5,0,26.25,15.25,ADABI KARI IKAN 250G, RM4.90 
10/2/2023,51,0,51,0,ALISHAN WHOLE MUSHROOMS 425G, RM2.92 
10/2/2023,81.2,0,7.28,27.44,CHIPSMORE MINI HALZENUT 80G, RM1.86 
10/2/2023,403,0,37,2.35,ERAWAN TEPUNG BERAS 500G, RM1.75 
10/2/2023,815,0,75,9,GAJAH TEPUNG BERAS 1KG, RM3.30 
10/2/2023,102,0,21.25,0,HOBE RED KIDNEY BEANS 425G, RM3.10 
10/2/2023,712.8,0,79.2,0,JALEN KICAP MASIN 325ML, RM3.04 
10/2/2023,53.55,0,2.975,7.65,KIMBALL SUP TOMATO 425G, RM3.21 
10/2/2023,323.4,19.8,0,0,LIFE SOS CILI 330G, RM2.60 
10/2/2023,163.2,0,0,7.2,RICO ASSORTED PUDDING 24PCS, RM3.32 
10/2/2023,2176,0,0,96,RICO LYCHEE PUDDING 24PCS, RM4.02 
10/2/2023,2176,0,0,96,RICO PINEAPPLE PUDDING 24PCS, RM4.02 
10/2/2023,0,0,0,0,SAJIKU GARAM HALUS 1KG, RM1.00 
10/2/2023,118.6,0,8.8,3.2,SAJIKU KUAH ROJAK ASLI 200G, RM2.50 
10/2/2023,118.6,0,8.8,3.2,SAJIKU KUAH ROJAK ASLI 300G, RM3.40 
10/2/2023,0,0,48,16,SRI MELATI SARDINE 400G, RM3.46 
11/2/2023,8150,0,750,90,GAJAH TEPUNG BERAS 1KG, RM3.30 
13/2/2023,19.92,0,18.6,30.48,BABA'S CUMIN POWDER (JINTAN PUTIH) 20G, RM0.78 
13/2/2023,51.24,33.96,21.24,28.56,BABA'S FENNEL POWDER (JINTAN MANIS) 20G, RM0.78 
13/2/2023,472.72,15.2,74.48,157.32,CINTAN ASAM LAKSA 5PCS, RM5.33 
13/2/2023,934.8,30.4,174.8,288.8,CINTAN TOM YAM 5PCS, RM5.33 
13/2/2023,158.05,15.66,17.4,78.3,MR POTATO CRISPS ORI 145G, RM3.55 
13/2/2023,1281,0,102,387,TOKI TOMATO CORN STICK 60G, RM1.02 
13/2/2023,411.36,9.6,24,14.88,WHISKAS TUNA FLAVOUR 480G 1+YEARS, RM6.38 
13/2/2023,21,0,0,0,YEO'S C/THEMUM TEA 300ML (TIN), RM1.22 
13/2/2023,16.24,0,34.22,21.75,YEO'S KARI AYAM 145G, RM3.05 
13/2/2023,25.5,0,0,0,YEO'S LYCHEE 250ML (KOTAK), RM0.77 
13/2/2023,35,0,1,1.3,YEO'S YEOGURT GRAPE 250ML, RM1.48 
14/2/2023,76.8,15.36,0,0,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G, RM1.50 
14/2/2023,450,30,0,0,DOLPHIN NATA DE COCO MANGO 1.5KG, RM6.10 
14/2/2023,64,0,64,160,MEG SLICES CHEESE 8SLICES, RM3.95 
14/2/2023,3887.46,56.34,394.38,1183.14,MUNCHY'S C/KER S/WICH BUTTER 313G, RM4.28 
14/2/2023,355.6,15.24,45.72,91.44,MUNCHY'S CHEERMIX 508G, RM7.10 
14/2/2023,125.4,5.7,13.3,43.7,MUNCHY'S LEXUS CHOCO 190G, RM4.83 
14/2/2023,851.2,39.9,93.1,319.2,MUNCHY'S LEXUS LEMON CREAM 190G, RM4.83 
14/2/2023,657,9,81,135,MUNCHY'S LEXUS LEMON CREAM 190G, RM4.83 
14/2/2023,438,6,54,90,MUNCHY'S MARIE CAPPUCCINO 300G, RM4.33 
14/2/2023,284.7,7.8,31.2,62.4,MUNCHY'S VEGE CRACKERS 390G, RM4.07 
14/2/2023,326.4,0,0,14.4,RICO ASSORTED PUDDING 24PCS, RM3.65 
14/2/2023,504,0,0,36,RICO AUTO-MAN PUDDING 24PCS, RM3.65 
14/2/2023,800,0,0,0,RICO JELLY CUP 100PCS, RM4.85 
14/2/2023,1305.6,0,0,57.6,RICO LYCHEE PUDDING 24PCS, RM3.65 
14/2/2023,217.6,0,0,9.6,RICO MANGO PUDDING 24PCS, RM3.65 
14/2/2023,217.6,0,0,9.6,RICO PINEAPPLE PUDDING 24PCS, RM3.65 
14/2/2023,216,0,0,0,RICO UMBRELLA PUDDING 24PCS, RM4.00 
14/2/2023,21,0,0,0,YEO'S CHRYSANTHEMUM TEA 250ML (KOTAK), RM18.20 
15/2/2023,361.44,0,0,0,ALIBABA DRINK POP CANDY 24PCS, RM7.10 
15/2/2023,2349.36,0,0,0,ALIBABA FOOT & FINGER LOLLIPOP 24PCS, RM7.10 
